#options: 480x320 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=umh subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=700 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 vbv_maxrate=10000 vbv_bufsize=10000 nal_hrd=none filler=0 ip_ratio=1.41 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.09 aq:20.26 tex:174035 mv:27205 misc:5944 imb:600 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:30.69 aq:20.91 tex:244 mv:58 misc:234 imb:0 pmb:18 smb:582 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:30.55 aq:20.14 tex:163 mv:46 misc:215 imb:0 pmb:14 smb:586 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:30.41 aq:21.70 tex:46 mv:16 misc:130 imb:0 pmb:4 smb:596 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:30.29 aq:20.05 tex:94 mv:26 misc:168 imb:0 pmb:8 smb:592 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:30.12 aq:20.51 tex:112 mv:32 misc:176 imb:0 pmb:10 smb:590 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:34.12 aq:26.00 tex:0 mv:0 misc:80 imb:0 pmb:0 smb:600 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:38.12 aq:30.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:600 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:35.48 aq:28.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:600 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:33.38 aq:25.00 tex:0 mv:0 misc:80 imb:0 pmb:0 smb:600 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:31.63 aq:24.00 tex:0 mv:0 misc:88 imb:0 pmb:0 smb:600 d:- ref:0 ;
